Gender,Age,Income,Employment_Status,Credit_Score,Loan_Amount,Loan_Term_Months,Has_Defaulted_Before,Fraudulent_Activity,Loan_Status
Female,50,61323,Student,551,18558,48,0,0,Under Review
Male,49,38752,Employed,389,45237,48,0,0,Rejected
Male,26,117912,Self-employed,745,1178,60,1,0,Rejected
Female,55,102205,Student,631,21470,36,0,0,Under Review
Female,61,118452,Employed,438,18118,36,1,0,Rejected
Male,57,33395,Employed,656,23616,12,0,0,Under Review
Female,44,105957,Unemployed,573,1798,48,0,0,Under Review
Male,49,141237,Self-employed,318,8601,60,1,0,Rejected
Male,51,76273,Self-employed,610,26363,12,0,0,Under Review
Female,55,147431,Self-employed,453,3795,36,0,0,Rejected
Male,53,111878,Student,689,32926,48,0,0,Under Review
Female,41,24895,Unemployed,559,46264,60,0,0,Under Review
Male,52,139968,Student,424,38356,24,0,0,Rejected
Male,43,135700,Self-employed,653,8297,48,0,0,Under Review
Female,53,96559,Student,572,4084,60,0,0,Under Review
Female,23,30699,Employed,544,31329,12,0,0,Under Review
Female,38,85061,Student,749,12110,24,1,0,Rejected
Male,45,29715,Student,546,1731,60,0,0,Under Review
Male,62,39169,Self-employed,819,2129,60,0,0,Under Review
Male,51,145436,Employed,440,29022,36,1,0,Rejected
Male,23,138413,Self-employed,661,2605,48,1,0,Rejected
Female,60,36163,Employed,307,12970,36,1,1,Rejected
Female,44,139264,Employed,777,44705,24,0,0,Approved
Female,52,25782,Employed,651,45130,60,1,0,Rejected
Male,42,108177,Self-employed,794,30265,36,1,1,Rejected
Female,43,149772,Employed,726,33330,48,0,1,Approved
Female,22,144481,Unemployed,338,3933,24,0,0,Rejected
Female,47,104328,Unemployed,486,16187,12,1,0,Rejected
Female,62,135028,Unemployed,392,26791,36,1,0,Rejected
Male,22,55585,Unemployed,385,25900,24,0,1,Rejected
Male,46,50682,Self-employed,343,6074,12,0,0,Rejected
Female,37,67864,Student,436,47805,36,0,0,Rejected
Male,60,149992,Student,720,27426,24,0,0,Approved
Female,53,104416,Unemployed,373,40867,24,0,0,Rejected
Male,29,75114,Student,847,1893,36,1,0,Rejected
Male,63,147810,Unemployed,811,35158,24,0,0,Approved
Female,59,58067,Unemployed,455,20773,60,0,0,Rejected
Female,49,62685,Student,554,5239,36,0,0,Under Review
Female,62,142262,Student,470,21863,24,0,0,Rejected
Female,46,38073,Employed,469,4432,12,0,0,Rejected
Male,55,56035,Unemployed,621,36139,12,1,0,Rejected
Female,45,84977,Student,755,2515,60,0,0,Approved
Male,44,122710,Student,454,32670,36,1,0,Rejected
Female,33,110373,Student,648,49674,24,0,0,Under Review
Male,27,103362,Employed,750,40094,24,1,0,Rejected
Female,56,110517,Unemployed,472,15605,12,1,0,Rejected
Male,40,85450,Unemployed,309,6586,60,0,0,Rejected
Male,21,30382,Self-employed,564,36685,12,0,0,Under Review
Female,28,24437,Employed,737,49669,12,0,0,Under Review
Female,36,90971,Employed,546,32186,60,0,0,Under Review
Male,34,84612,Unemployed,845,27928,36,0,0,Approved
Female,32,110355,Self-employed,798,33728,24,1,0,Rejected
Female,43,81929,Self-employed,428,18551,36,0,0,Rejected
Male,35,122411,Unemployed,626,22493,48,0,0,Under Review
Female,48,117518,Student,703,21711,48,1,0,Rejected
Female,54,118864,Employed,658,21039,48,0,0,Under Review
Female,22,32329,Self-employed,316,37561,60,1,0,Rejected
Female,52,145605,Student,573,10947,12,0,0,Under Review
Female,43,45169,Self-employed,415,33335,36,1,0,Rejected
Female,42,107468,Student,390,16859,24,0,0,Rejected
Male,45,54594,Student,381,24122,48,1,0,Rejected
Male,42,96957,Employed,623,2577,36,1,0,Rejected
Female,42,80631,Self-employed,413,43256,48,0,0,Rejected
Female,62,65033,Self-employed,357,29350,48,0,0,Rejected
Male,26,83133,Student,453,42932,24,0,0,Rejected
Female,35,93165,Unemployed,703,34798,60,1,0,Rejected
Female,63,93861,Self-employed,565,32898,12,1,0,Rejected
Male,57,72290,Employed,614,16881,60,1,0,Rejected
Female,53,114031,Unemployed,340,11785,36,0,0,Rejected
Female,28,51750,Self-employed,404,7691,60,0,0,Rejected
Male,64,115155,Employed,492,18297,36,1,0,Rejected
Female,64,60461,Unemployed,700,7358,36,0,0,Under Review
Female,25,93800,Self-employed,577,20581,12,1,0,Rejected
Female,59,98222,Employed,653,2462,24,0,0,Under Review
Female,24,132020,Unemployed,555,16511,12,0,0,Under Review
Female,26,44226,Self-employed,398,11570,60,1,0,Rejected
Male,52,26721,Unemployed,581,49665,36,0,0,Under Review
Female,50,76154,Student,702,45414,48,0,0,Approved
Male,55,40609,Student,408,16474,48,0,0,Rejected
Male,60,72130,Unemployed,498,8037,36,0,0,Rejected
Female,36,92909,Student,602,29129,12,0,0,Under Review
Female,33,124211,Student,626,43267,24,1,0,Rejected
Male,62,75249,Unemployed,453,14386,12,0,0,Rejected
Male,50,68895,Student,704,7221,36,1,0,Rejected
Female,39,114473,Unemployed,761,24474,36,0,0,Approved
Male,37,25656,Unemployed,431,41537,24,0,0,Rejected
Male,39,144865,Student,383,48124,60,1,0,Rejected
Male,48,94520,Self-employed,698,22045,60,1,0,Rejected
Male,46,83740,Unemployed,408,26783,24,0,0,Rejected
Male,57,84309,Unemployed,520,41157,60,0,0,Under Review
Male,46,49984,Self-employed,667,5922,48,1,0,Rejected
Female,43,138947,Student,446,47407,60,1,0,Rejected
Male,29,93822,Employed,411,23706,60,1,0,Rejected
Female,32,25901,Self-employed,793,43771,60,1,0,Rejected
Female,21,51552,Employed,804,33479,48,0,0,Approved
Male,21,111245,Student,774,6178,60,0,0,Approved
Female,54,51055,Unemployed,570,31022,48,0,0,Under Review
Female,52,57685,Unemployed,720,16240,24,0,0,Approved
Female,45,93965,Student,666,27220,12,0,0,Under Review
Male,60,34716,Student,579,37736,24,1,0,Rejected
Male,21,134099,Student,582,3716,12,1,0,Rejected
Male,36,31138,Student,339,17574,24,1,0,Rejected
Male,59,55298,Student,488,47279,12,0,0,Rejected
Female,25,71112,Student,463,18719,12,1,0,Rejected
Male,42,43429,Student,835,9181,36,0,0,Under Review
Male,49,70200,Unemployed,835,46763,12,0,1,Approved
Female,23,91308,Employed,303,45066,12,0,0,Rejected
Male,32,68244,Employed,589,21213,36,1,0,Rejected
Male,46,137217,Unemployed,732,7380,60,0,0,Approved
Male,36,134055,Self-employed,770,1615,60,0,0,Approved
Female,57,121268,Employed,480,1463,36,1,0,Rejected
Male,42,125441,Self-employed,547,32973,48,0,0,Under Review
Female,49,37347,Unemployed,578,10158,12,1,0,Rejected
Female,34,36920,Self-employed,553,21651,12,0,0,Under Review
Female,48,51822,Unemployed,480,4158,36,1,0,Rejected
Female,25,66659,Student,808,21008,36,0,0,Approved
Female,50,60108,Student,625,47202,48,0,0,Under Review
Male,25,148955,Employed,656,5938,60,1,0,Rejected
Female,32,109099,Employed,690,39185,24,0,0,Under Review
Female,36,27967,Self-employed,384,23388,60,1,0,Rejected
Female,46,130719,Self-employed,616,9881,12,0,0,Under Review
Male,46,31871,Employed,511,6603,36,1,0,Rejected
Female,41,114299,Student,814,35980,48,0,0,Approved
Female,59,97452,Unemployed,683,23504,60,0,0,Under Review
Male,56,94270,Student,641,17766,48,0,0,Under Review
Female,53,53613,Employed,337,29386,60,1,0,Rejected
Female,50,48179,Unemployed,810,12695,12,1,0,Rejected
Male,57,140465,Self-employed,719,18796,24,1,0,Rejected
Female,43,72188,Employed,468,43543,48,1,0,Rejected
Male,30,75099,Student,642,15559,48,1,0,Rejected
Female,25,55262,Self-employed,605,39914,24,0,0,Under Review
Female,56,98213,Self-employed,841,34139,48,0,0,Approved
Female,54,137407,Employed,836,39333,48,0,0,Approved
Male,51,38268,Student,411,9802,60,0,0,Rejected
Male,30,97866,Employed,710,9307,60,0,0,Approved
Male,39,106269,Unemployed,505,41205,24,1,0,Rejected
Male,52,80545,Unemployed,484,34214,12,0,0,Rejected
Female,21,123483,Self-employed,681,35159,48,1,0,Rejected
Male,25,112822,Student,795,12516,12,0,0,Approved
Male,24,92146,Unemployed,678,30086,24,1,0,Rejected
Male,36,91966,Unemployed,346,49222,24,1,0,Rejected
Female,44,59922,Unemployed,827,31480,60,1,0,Rejected
Female,36,99364,Unemployed,803,45659,48,0,0,Approved
Female,22,62913,Employed,321,48766,36,0,0,Rejected
Female,48,117033,Self-employed,512,39737,24,0,1,Under Review
Female,52,124792,Self-employed,609,10265,48,0,0,Under Review
Male,47,139425,Unemployed,571,49629,12,1,0,Rejected
Male,40,75677,Self-employed,501,6454,60,1,0,Rejected
Female,44,122154,Self-employed,331,36918,12,1,0,Rejected
Female,32,69841,Self-employed,742,27181,24,1,0,Rejected
Male,55,66332,Self-employed,461,16386,24,0,0,Rejected
Female,53,112062,Employed,553,40182,12,1,0,Rejected
Female,53,139863,Unemployed,820,38425,24,0,0,Approved
Male,63,115694,Student,779,44254,48,1,0,Rejected
Female,57,45032,Employed,309,25327,24,1,0,Rejected
Female,32,57846,Self-employed,804,22181,60,1,0,Rejected
Female,23,79474,Unemployed,735,48662,48,0,0,Approved
Female,21,64936,Unemployed,410,22452,36,0,0,Rejected
Male,53,49794,Unemployed,452,39248,24,1,0,Rejected
Female,60,81588,Unemployed,401,41801,24,1,0,Rejected
Male,30,90984,Self-employed,490,34751,60,1,0,Rejected
Female,63,70331,Unemployed,380,22991,60,0,0,Rejected
Female,64,114397,Student,788,42311,12,0,0,Approved
